name,description,price,category
Wireless Charging Pad,Fast wireless charging pad for Qi enabled devices,24.99,Electronics
Smart LED Light Bulb,App controlled LED bulb with adjustable brightness,14.99,Smart Home
Mechanical Keyboard,Compact mechanical keyboard with tactile switches,89.99,Computer Accessories
Laptop Stand Aluminum,Adjustable aluminum stand that improves laptop ergonomics,39.99,Office
Noise Cancelling Headphones,Over ear Bluetooth headphones with active noise cancellation,129.99,Electronics
Minimalist Desk Lamp,LED desk lamp with touch brightness control,34.99,Office
Stainless Steel Water Bottle,Insulated bottle that keeps drinks cold or hot for hours,19.99,Lifestyle
Portable Power Bank 20000mAh,High capacity portable battery with fast charging,44.99,Electronics
Cable Organizer Case,Travel pouch for storing cables and chargers,17.99,Accessories
Bluetooth Tracker Tag,Small tracker to locate keys bags and valuables,21.99,Smart Devices
Ergonomic Wireless Mouse,Comfortable wireless mouse with adjustable DPI,29.99,Computer Accessories
Monitor Light Bar,LED monitor mounted light that reduces eye strain,49.99,Office
Desk Mat XL,Large desk mat with smooth surface for mouse and keyboard,22.99,Office
USB C Hub 7 in 1,Multiport USB C hub with HDMI and SD card reader,54.99,Computer Accessories
Adjustable Phone Stand,Foldable aluminum phone stand for desk use,12.99,Accessories
Gaming Mouse Pad Extended,Large mouse pad optimized for gaming precision,18.99,Gaming
USB C Charging Cable 2m,Durable braided USB C cable for fast charging,9.99,Accessories
Wireless Earbuds,Bluetooth earbuds with charging case and clear audio,79.99,Electronics
Smart Plug WiFi,Control home devices remotely with smartphone app,16.99,Smart Home
Laptop Sleeve 13 inch,Protective sleeve for laptops up to 13 inches,21.99,Accessories
Laptop Sleeve 15 inch,Protective sleeve for laptops up to 15 inches,23.99,Accessories
Portable SSD 1TB,High speed external solid state drive for storage,119.99,Electronics
Portable SSD 2TB,Large capacity external SSD with USB C connection,199.99,Electronics
Mechanical Keyboard Wrist Rest,Soft ergonomic wrist support for keyboards,19.99,Computer Accessories
Webcam Full HD,1080p webcam ideal for video meetings and streaming,49.99,Electronics
Tripod Phone Mount,Adjustable tripod stand for smartphones,27.99,Accessories
Ring Light 10 inch,LED ring light for video and photography lighting,32.99,Electronics
Wireless Presentation Clicker,Remote clicker for presentations with laser pointer,18.99,Office
Notebook A5 Minimal,Minimalist lined notebook for notes and journaling,8.99,Office
Gel Pen Set 10 pack,Smooth writing gel pens in assorted colors,12.99,Office
Desk Organizer Tray,Simple tray organizer for pens and small items,14.99,Office
Desk Cable Clips Set,Clips to keep desk cables organized and tidy,7.99,Accessories
Magnetic Whiteboard Small,Small magnetic board for notes and reminders,19.99,Office
Whiteboard Marker Set,Set of colorful dry erase markers,11.99,Office
Portable Laptop Cooling Pad,USB powered cooling pad for laptops,29.99,Computer Accessories
Adjustable Tablet Stand,Stable stand compatible with most tablets,16.99,Accessories
Tablet Stylus Pen,Universal stylus pen for touchscreens,9.99,Accessories
Desk Clock Digital,Minimal digital clock with LED display,24.99,Office
Smart Alarm Clock,Alarm clock with sunrise light feature,39.99,Smart Home
Smart Temperature Sensor,Monitor room temperature through mobile app,29.99,Smart Home
USB Desk Fan,Small USB powered fan for desk cooling,15.99,Office
LED Strip Lights 5m,Color changing LED strip lights with remote,22.99,Smart Home
HDMI Cable 2m,High speed HDMI cable for monitors and TVs,10.99,Electronics
Ethernet Cable 5m,Cat6 cable for stable wired internet connection,11.99,Electronics
Portable Projector Mini,Compact projector for movies and presentations,149.99,Electronics
Wireless Charger Stand,Vertical wireless charging stand for phones,27.99,Electronics
Travel Adapter Universal,Universal power adapter for international travel,25.99,Accessories
Backpack Tech Organizer,Backpack with compartments for gadgets,69.99,Accessories
Minimal Laptop Backpack,Lightweight backpack designed for laptops,59.99,Accessories
Travel Packing Cubes Set,Organize luggage with packing cubes,19.99,Travel
Insulated Coffee Mug,Reusable mug that keeps coffee hot longer,17.99,Lifestyle
Electric Kettle 1.7L,Fast boiling electric kettle with auto shutoff,39.99,Home
Coffee Grinder Electric,Electric grinder for fresh coffee beans,34.99,Home
Smart Scale Body Weight,Digital scale that syncs with health apps,49.99,Smart Devices
Fitness Tracker Watch,Basic fitness tracker with heart rate monitor,79.99,Smart Devices
Yoga Mat Non Slip,Comfortable exercise mat with non slip surface,24.99,Fitness
Resistance Bands Set,Workout bands for strength training,19.99,Fitness
Foam Roller Exercise,Muscle recovery foam roller for workouts,21.99,Fitness
Jump Rope Fitness,Adjustable speed rope for cardio workouts,12.99,Fitness
Reusable Shopping Bag Foldable,Compact foldable bag for groceries,6.99,Lifestyle
Stainless Steel Lunch Box,Reusable lunch container with compartments,18.99,Lifestyle
Kitchen Timer Digital,Simple timer for cooking and baking,9.99,Home
Cutting Board Bamboo,Durable bamboo board for food preparation,16.99,Home
Knife Sharpener Manual,Manual sharpener for kitchen knives,14.99,Home
LED Flashlight Rechargeable,Bright flashlight with USB charging,22.99,Tools
Multi Tool Pocket,Compact multi tool for everyday tasks,24.99,Tools
Screwdriver Set Precision,Precision screwdriver set for electronics repair,19.99,Tools
Tape Measure 5m,Durable measuring tape with locking mechanism,8.99,Tools
Wall Hook Set Adhesive,Adhesive hooks for hanging items on walls,11.99,Home
Storage Basket Fabric,Soft fabric basket for storage organization,13.99,Home
Under Desk Cable Tray,Tray mounted under desk for cable management,29.99,Office
Standing Desk Converter,Converter that turns desk into standing workstation,139.99,Office
Laptop Privacy Screen,Privacy filter that limits viewing angles,34.99,Computer Accessories
Screen Cleaning Kit,Microfiber cloth and spray for screens,9.99,Accessories
Keyboard Cleaning Gel,Gel cleaner for keyboards and electronics,7.99,Accessories
Air Duster Spray,Compressed air for cleaning electronics,6.99,Accessories
Smart Door Sensor,Detects door openings and sends alerts,27.99,Smart Home
Smart Motion Sensor,Motion detection sensor for smart homes,29.99,Smart Home
WiFi Security Camera,Indoor camera with app monitoring,79.99,Smart Home
Video Doorbell WiFi,Doorbell camera with smartphone notifications,119.99,Smart Home
Outdoor Smart Plug,Weather resistant smart outlet for outdoors,34.99,Smart Home
Solar Power Bank,Power bank that charges with solar energy,39.99,Electronics
Camping Lantern LED,Bright lantern for camping and emergencies,21.99,Outdoor
Thermal Blanket Emergency,Compact emergency survival blanket,8.99,Outdoor
Camping Cookware Set,Lightweight cookware set for camping trips,34.99,Outdoor
Portable Camping Stove,Small gas stove for outdoor cooking,44.99,Outdoor
Water Filter Bottle,Filtered water bottle for travel and hiking,29.99,Outdoor
Hiking Backpack 30L,Comfortable backpack for day hikes,69.99,Outdoor
Dry Bag Waterproof,Waterproof bag for protecting gear,17.99,Outdoor
Bike Phone Mount,Secure phone mount for bicycles,19.99,Cycling
Bike Light Set USB,Rechargeable front and rear bike lights,24.99,Cycling
Bike Repair Tool Kit,Compact repair kit for bicycles,21.99,Cycling
Car Phone Charger Dual USB,Dual USB charger for car outlets,12.99,Automotive
Car Phone Mount Dashboard,Dashboard mount for smartphones in cars,14.99,Automotive
Car Vacuum Portable,Compact vacuum cleaner for car interiors,39.99,Automotive
Car Emergency Kit,Basic roadside emergency safety kit,49.99,Automotive
